date,actual_gwh,predicted_gwh,absolute_error_gwh,mae_gwh,rmse_gwh
2025-07-01,14123.11,14848.712935884974,725.6029358849737,393.5932456193987,462.11100502670087
2025-08-01,14218.340613,14304.687691007737,86.34707800773685,393.5932456193987,462.11100502670087
2025-09-01,12592.03091,12958.807590479586,366.7766804795865,393.5932456193987,462.11100502670087
2025-10-01,9885.79,10294.441779945022,408.6517799450212,393.5932456193987,462.11100502670087
2025-11-01,8050.208559,8019.478731567228,30.729827432771344,393.5932456193987,462.11100502670087
2025-12-01,8487.043342,8151.9095258192865,335.13381618071435,393.5932456193987,462.11100502670087
2026-01-01,9140.246828,8311.609702096559,828.6371259034404,393.5932456193987,462.11100502670087
2026-02-01,7695.74,7255.448380989087,440.29161901091265,393.5932456193987,462.11100502670087
2026-03-01,8939.278884,8557.399252465286,381.87963153471355,393.5932456193987,462.11100502670087
2026-04-01,9498.87,10205.66068034418,706.7906803441783,393.5932456193987,462.11100502670087
2026-05-01,12638.13,12805.828480631675,167.69848063167592,393.5932456193987,462.11100502670087
2026-06-01,13431.23,13675.80929207706,244.57929207706002,393.5932456193987,462.11100502670087
