date,total_generation_gwh,renewable_generation_gwh,renewable_share_pct,year,month,yoy_growth_pct
2016-01-01,6770.54,939.0500000000001,13.869647029631317,2016,1,9.441971285493068
2016-02-01,6397.42,2328.25,36.39357741089377,2016,2,9.188318282594343
2016-03-01,6735.0,1995.78,29.632962138084633,2016,3,2.9643332161257474
2016-04-01,7813.99,2544.33,32.56121392528017,2016,4,6.4355882705488865
2016-05-01,10003.29,3802.51,38.012593856621166,2016,5,4.4363871590921145
2016-06-01,9893.630000000001,3863.46,39.04997457960324,2016,6,-0.24390440641187672
2016-07-01,11005.649,4198.72,38.150589756224285,2016,7,3.561135576633534
2016-08-01,10780.2,4453.17,41.30878833416819,2016,8,2.4805927413145135
2016-09-01,10220.1,4456.66,43.606814023346146,2016,9,6.243899092153726
2016-10-01,8678.57,2908.7,33.515890290681526,2016,10,4.597630497402694
2016-11-01,6935.26,2990.53,43.12066166228808,2016,11,3.170418943967257
2016-12-01,6903.01,1809.72,26.21638966190111,2016,12,0.33780199047350745
2017-01-01,7168.2,1030.76,14.379621104321865,2017,1,5.8733867608787405
2017-02-01,6352.5,1679.2,26.433687524596618,2017,2,-0.7021580574669173
2017-03-01,7619.83,1541.69,20.232603614516336,2017,3,13.137787676317746
2017-04-01,8841.98,2370.61,26.81085005847107,2017,4,13.155762932893445
2017-05-01,11022.06,3711.48,33.67319720632985,2017,5,10.184349349064137
2017-06-01,11458.23,3834.26,33.46293450210024,2017,6,15.814215813609355
2017-07-01,12496.64,4212.27,33.70722050087064,2017,7,13.547506376043783
2017-08-01,12754.283,4554.76,35.71161154256966,2017,8,18.312118513571175
2017-09-01,11489.02,4456.51,38.78929621499484,2017,9,12.415925480181222
2017-10-01,10017.29,2663.5299999999997,26.589327053524453,2017,10,15.425582786104176
2017-11-01,7370.219999999999,2381.23,32.30880489320536,2017,11,6.271718724316022
2017-12-01,7690.24,1473.45,19.160000208055926,2017,12,11.40415557850849
2018-01-01,7982.06,821.14,10.28731931356066,2018,1,11.353756870623034
2018-02-01,6948.87,1587.0,22.838245642816744,2018,2,9.387957497048394
2018-03-01,8740.91,1183.66,13.541610656098738,2018,3,14.712664193295645
2018-04-01,10999.59,1866.71,16.97072345423784,2018,4,24.40188736007094
2018-05-01,12098.98,2683.47,22.17930767717609,2018,5,9.770587349370263
2018-06-01,12913.76,4182.61,32.3887852956846,2018,6,12.702921829985957
2018-07-01,13751.81,4481.81,32.5906916980383,2018,7,10.044059843285869
2018-08-01,14017.49,5061.65,36.10953173499677,2018,8,9.904178855055989
2018-09-01,12552.06,4766.2,37.971456478060176,2018,9,9.252660366158283
2018-10-01,9573.789999999999,2614.0,27.303711487300227,2018,10,-4.427345120287041
2018-11-01,7545.63,2798.5699999999997,37.08861950559462,2018,11,2.379983229808613
2018-12-01,7720.646988,1628.4714370000002,21.09242191141611,2018,12,0.39539712674767635
