date,year,month,month_name,source,category,generation_gwh,unit
2013-03-01,2013,3,Mar,Electricity Generation by Coal,Fossil / Other,0.0, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Gas,Fossil / Other,1618.672581, GWh
2013-03-01,2013,3,Mar,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,37.533605, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Mixed,Fossil / Other,116.287078, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2607.391215, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Nuclear,Nuclear,222.205, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Hydel,Renewable,1558.356763, GWh
2013-03-01,2013,3,Mar,Electricity Generation by Wind,Renewable,0.384, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Gas,Fossil / Other,1504.42, GWh
2013-04-01,2013,4,Apr,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,109.17, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Mixed,Fossil / Other,94.28, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2433.01, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Nuclear,Nuclear,222.25, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Hydel,Renewable,1872.61, GWh
2013-04-01,2013,4,Apr,Electricity Generation by Wind,Renewable,0.42, GWh
2013-05-01,2013,5,May,Electricity Generation by Gas,Fossil / Other,1810.12, GWh
2013-05-01,2013,5,May,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,60.87, GWh
2013-05-01,2013,5,May,Electricity Generation by Mixed,Fossil / Other,94.16, GWh
2013-05-01,2013,5,May,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2631.84, GWh
2013-05-01,2013,5,May,Electricity Generation by Nuclear,Nuclear,351.6, GWh
2013-05-01,2013,5,May,Electricity Generation by Hydel,Renewable,2404.3, GWh
2013-05-01,2013,5,May,Electricity Generation by Wind,Renewable,14.04, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Coal,Fossil / Other,6.36, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Gas,Fossil / Other,1842.64, GWh
2013-06-01,2013,6,Jun,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,28.49, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Mixed,Fossil / Other,83.88, GWh
2013-06-01,2013,6,Jun,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2558.03, GWh
