date,forecast_generation_gwh,lower_bound_gwh,upper_bound_gwh
2026-08-01,14726.732951305263,13514.835037203553,15938.630865406973
2026-09-01,13131.327646169164,11631.507632063873,14631.147660274455
2026-10-01,10347.394837584197,8707.794641203742,11986.995033964653
2026-11-01,8197.569693629812,6479.456713394137,9915.682673865485
2026-12-01,8439.027038334876,6671.957929338122,10206.09614733163
2027-01-01,8758.921613054577,6958.404914778337,10559.438311330818
2027-02-01,7535.896251013572,5710.577755568913,9361.21474645823
2027-03-01,8799.283963722142,6954.223362155707,10644.344565288577
2027-04-01,9995.93959450077,8134.218630240551,11857.660558760992
2027-05-01,12840.838093761193,10964.396862684158,14717.279324838228
2027-06-01,13683.77969139941,11793.873979758726,15573.685403040094
2027-07-01,14837.393291452598,12934.8560352326,16739.930547672593
